pf_n;pf_p;s_n;s_p;m_n;m_p
1.8;1.06;-428;707;0.287;0.488
0.894;0.437;-618;634;1.3;3.53
0.543;0.0612;-591;743;13.7;18.4
0.827;0.872;-496;595;1.27;7.33
0.636;0.195;-594;834;3.55;11.8
0.64;0.162;-497;708;1.22;13.4
0.792;0.0428;-448;716;0.772;15.4
0.838;0.0647;-435;830;0.637;8.25
0.924;0.0501;-383;769;0.448;9.66
0.602;0.483;-553;645;1.84;2.4
0.856;0.0456;-421;831;0.584;11
0.185;0.147;-743;798;21.8;241
0.953;0.388;-446;599;0.788;2.96
1.1;0.566;-523;672;1.19;1.54
1.44;0.276;-298;452;0.319;1.25
0.709;0.137;-593;814;7.77;14
0.301;0.0742;-686;744;5.64;22.2
0.128;0.165;-766;791;13.8;2130
1.27;0.204;-638;737;1.04;6
0.935;0.0531;-384;727;0.445;17.8
0.936;0.107;-393;655;0.465;4.72
0.91;0.0582;-384;743;0.458;12.7
0.933;0.0558;-393;735;0.466;9.42
0.933;0.0421;-394;790;0.469;39.1
0.945;0.0478;-393;825;0.46;10.9
0.941;0.112;-390;759;0.456;9.87
0.946;0.0729;-390;739;0.452;16.2
0.922;0.0226;-388;810;0.46;20.9
0.91;0.105;-386;688;0.461;319
0.933;0.0908;-394;760;0.468;5.86
0.935;0.0708;-393;802;0.466;13.1
0.926;0.092;-386;727;0.454;7.17
0.921;0.0263;-388;721;0.463;57.1
0.0999;0.12;-695;707;28.7;13.2
0.983;0.059;-368;750;0.389;6.6
0.853;0.0787;-423;702;0.612;242
0.842;0.0241;-420;797;0.595;31.3
0.992;0.121;-413;699;0.501;6.09
0.943;0.0803;-426;728;0.588;12.8
0.166;0.372;-759;681;11.6;4.82
0.811;0.0451;-433;774;0.655;13.2
0.171;0.373;-746;686;10.8;4.65
0.155;0.357;-738;685;12.6;4.75
0.153;0.36;-740;686;12.7;4.8
0.016;0.0072;-689;667;257;385
1.07;0.224;-293;692;0.225;1.08
1.09;0.114;-322;757;0.283;2.56
1.14;0.111;-271;755;0.194;1.89
1.36;0.262;-286;602;0.193;0.876
0.0102;0.0681;-757;726;333;29.4
1.25;3.58;-560;437;0.724;0.298
0.946;0.0497;-403;701;0.484;14
0.0316;0.0257;-745;741;61.8;151
0.161;0.149;-667;697;27.9;33.5
0.912;0.0408;-403;797;0.504;51
0.88;0.076;-407;724;0.53;1690
0.902;0.049;-407;681;0.518;145
0.955;0.0194;-388;762;0.45;61.3
0.00948;0.179;-679;665;769;45.5
0.681;0.667;-646;626;2.79;16.1
1.2;0.751;-442;464;0.833;1.22
0.0386;0.0418;-736;727;99.1;207
1.01;0.201;-354;735;0.35;1.75
1.91;0.481;-374;635;0.214;0.82
0.853;0.0968;-423;720;0.594;7.59
0.893;0.0166;-415;692;0.545;1180
0.985;0.114;-365;704;0.382;3.61
0.995;0.0262;-371;839;0.389;14.8
0.744;0.235;-554;629;3.39;6.18
1.01;0.231;-596;676;1.47;12.3
0.853;0.0056;-409;680;0.553;179
1.01;0.0555;-384;718;0.415;42.4
1.1;0.113;-298;750;0.229;2.34
1.79;1.22;-466;593;0.342;0.5
0.0663;0.125;-690;689;25.6;31.5
1.4;0.701;-588;549;0.981;1.77
0.792;0.212;-558;731;2.9;87
0.84;0.0588;-413;733;0.574;10.8
0.0182;0.00947;-667;712;777;2290
0.936;0.0334;-377;729;0.429;12.8
0.836;0.166;-452;865;0.894;3.89
1.12;0.178;-299;570;0.226;1.51
0.844;0.122;-413;761;0.57;7.21
0.885;0.162;-416;803;0.552;3.01
0.873;0.13;-421;742;0.573;5.87
0.606;0.22;-529;668;1.53;4.06
0.706;0.00678;-471;740;0.901;161
0.173;0.0628;-657;793;7.1;20.5
0.887;0.066;-416;776;0.55;7.45
0.988;0.109;-396;659;0.452;7.87
0.976;0.158;-371;663;0.398;3.2
1.17;0.0356;-261;673;0.166;6.42
1.16;0.0438;-256;657;0.159;4.56
0.81;0.437;-587;637;1.36;4.8
0.598;0.781;-651;522;2.61;2.45
1.57;0.628;-467;657;0.392;0.978
1.05;0.306;-335;575;0.301;2.53
1.73;1.06;-459;611;0.343;0.562
0.93;0.0349;-408;778;0.503;19.6
0.0763;0.0992;-681;674;24.3;15.2
0.886;0.0293;-413;771;0.545;21.9
0.829;0.129;-428;742;0.625;18.1
0.903;0.0638;-423;759;0.567;28.7
0.863;0.00612;-444;859;0.662;105
0.795;0.0102;-451;753;0.723;66.6
0.809;0.126;-440;712;0.68;30.6
0.86;0.0859;-410;797;0.55;6.52
0.867;0.091;-420;766;0.573;5.52
0.858;0.0623;-402;809;0.532;11.6
0.86;0.0636;-406;809;0.54;11.7
0.845;0.152;-430;727;0.618;9.63
0.879;0.159;-419;642;0.564;3.13
0.0333;0.185;-721;688;86.5;23.4
0.113;0.0369;-651;728;42.1;32.3
0.0835;0.285;-722;712;42;9.8
0.0812;0.201;-752;768;33.8;31.8
0.618;0.872;-466;533;1.9;154
0.115;0.132;-718;749;25.3;13.4
0.151;0.216;-719;727;14.3;13.7
0.0151;0.0738;-766;731;133;26.8
0.895;0.0252;-432;772;0.588;42.2
1.28;1.51;-539;666;0.739;3.7
0.267;0.0264;-698;789;11.2;157
0.285;0.525;-689;619;8.19;4.55
0.803;0.542;-495;556;0.907;2.24
0.774;0.15;-586;727;1.45;7.93
1.43;0.523;-517;627;1.05;2
0.0607;0.26;-796;714;37.1;9.78
0.861;0.00189;-417;778;0.569;512
0.826;0.0672;-433;892;0.64;7.86
0.413;0.1;-669;687;19.2;19.8
0.337;0.678;-722;619;4.67;2.29
0.34;0.0603;-608;730;6.17;21.5
0.586;0.00521;-531;786;2.02;191
1.07;2.41;-623;516;1.18;0.466
1.97;0.911;-532;617;0.421;1.03
0.9;0.0801;-414;654;0.591;8.26
1.05;1.95;-562;560;1.17;0.457
0.178;0.194;-705;706;11.1;49.5
0.803;1.15;-618;612;1.64;2.83
0.596;0.0995;-504;664;1.78;10.1
0.801;0.423;-553;612;1.12;2.05
0.631;0.175;-523;656;1.27;6.26
1.16;0.136;-516;752;0.664;26.3
0.00374;0.00835;-587;610;3730;279
0.367;0.194;-714;771;8.97;13.9
0.248;0.106;-544;648;4.16;51.1
0.143;0.147;-712;764;31.3;19.7
0.00303;0.0908;-696;656;589;19
0.0491;0.0525;-754;789;56.3;91.4
0.0621;0.0661;-797;764;84.4;28.2
0.12;0.0194;-721;806;16.2;132
0.293;0.0242;-633;849;19.7;48.5
0.294;0.0269;-735;856;19.3;63.7
0.882;0.0153;-412;817;0.544;274
0.273;0.975;-646;586;4.96;1.27
0.412;0.0417;-580;719;3.07;32.6
0.872;0.0175;-430;800;0.598;33.1
0.62;0.151;-584;684;1.74;6.62
0.875;0.42;-418;514;0.575;1.37
0.351;0.119;-623;693;3.53;10
0.134;0.0427;-706;789;16.1;419
0.467;0.153;-647;747;3.56;18.7
0.93;0.0605;-406;742;0.504;20.5
0.885;0.101;-526;720;0.98;8.63
0.705;0.907;-688;555;2.06;2.25
0.784;0.168;-546;722;1.21;11.4
0.857;0.31;-583;637;1.44;4.75
0.0275;0.0485;-803;794;74.4;44.7
0.0656;0.46;-731;637;65.9;170
0.0295;0.0807;-775;747;112;21.9
0.129;0.149;-691;760;13.3;489
0.396;0.0507;-615;745;4.91;60.4
0.0712;0.0373;-697;792;19.6;155
0.78;0.361;-544;654;1.3;9.57
0.367;0.227;-633;661;4.22;6.76
0.861;0.141;-615;749;7.26;11.6
0.0108;0.0165;-690;739;309;103
0.0682;0.194;-737;711;150;269
0.0761;0.0958;-764;736;829;35.3
0.0661;0.0018;-734;822;27.9;2180
0.207;0.0474;-687;766;12.3;37
0.838;0.757;-510;530;1.35;1.84
0.714;0.632;-631;633;91.7;132
0.549;0.499;-689;604;19.7;4.02
0.132;0.15;-725;743;17.4;21.5
0.701;0.992;-561;506;1.86;1.48
0.0471;0.0519;-778;844;129;59.9
1.37;1.35;-582;514;0.764;13.1
0.0887;0.0295;-756;774;79.2;104
0.446;0.0737;-606;787;7.36;24.2
0.374;0.0532;-692;786;41.4;28.1
0.077;0.161;-740;776;31;37.8
1.47;4.09;-655;390;0.985;0.93
0.868;0.033;-426;807;0.591;16.5
0.574;0.501;-584;576;11.4;14.9
0.154;0.0567;-657;731;33.9;29.5
0.125;0.306;-754;636;20.9;38.7
0.238;0.257;-749;693;13.5;12.2
1.33;0.589;-598;581;2.39;3.11
0.647;0.164;-537;695;2.04;4.96
0.623;0.178;-566;689;3.1;13.9
0.457;0.0505;-566;706;2.02;18
0.0592;0.0525;-732;714;38.7;159
0.0246;0.0357;-768;745;92.3;70.9
0.259;0.0769;-678;695;192;21.2
0.801;0.236;-434;615;0.663;2.38
0.267;0.298;-716;675;7.49;9.84
0.725;0.102;-623;711;5.12;95.2
0.151;0.0994;-707;706;13.7;20
0.666;0.209;-594;749;3.07;5.55
0.0481;0.4;-788;662;37.8;6.61
0.959;0.116;-528;742;3.28;7.08
1.83;0.618;-435;668;0.298;1.06
0.417;0.0101;-534;782;2.22;83.8
0.84;0.0438;-429;847;0.617;11.8
0.175;0.291;-659;639;7.26;4.64
0.142;0.0261;-678;735;10.7;65.6
0.0895;0.0748;-778;752;19.8;25.7
1.08;0.338;-571;680;0.852;5.91
0.472;0.316;-548;591;1.96;3.1
0.285;0.244;-700;802;10.2;285
0.95;0.797;-386;409;0.477;0.551
1.02;1.23;-408;453;0.616;2.1
0.133;0.277;-690;697;10.5;91.2
0.0987;0.0561;-779;867;33;215
0.33;0.087;-643;717;7.25;14.4
0.104;0.0421;-779;814;34.2;47
0.869;0.0109;-456;844;0.679;141
0.71;1.46;-588;561;5.66;62.8
0.357;0.158;-641;706;3.63;14000
0.328;0.165;-688;771;4.46;12.6
0.826;0.0182;-435;843;0.648;51.2
0.852;0.0075;-434;898;0.622;71.3
0.883;0.268;-576;692;1.68;6.65
0.833;0.44;-648;620;4.7;2.99
0.605;0.0383;-572;846;2.05;26.5
0.842;0.123;-427;846;0.616;227
1.68;1.06;-597;571;0.701;1.57
1.19;0.833;-577;604;0.937;1.13
1.02;0.605;-514;708;0.762;11.8
1.28;0.85;-451;569;0.454;0.861
0.974;0.557;-538;668;1.02;1.6
1.25;0.426;-568;683;6.38;4.88
0.0194;0.0166;-733;771;130;102
0.977;0.193;-595;733;30.8;5.96
2.39;2.35;-531;522;0.332;0.339
0.457;0.268;-533;651;1.89;7.88
0.0863;0.0244;-699;763;20.5;174
0.138;0.106;-726;790;12.1;406
1.09;0.44;-576;674;0.867;24.2
0.0697;0.0886;-714;679;79;385
0.497;0.0292;-549;831;1.77;106
1.14;0.23;-272;555;0.184;0.941
1.03;0.437;-262;457;0.214;1.26
0.843;0.112;-419;689;0.629;41.3
1.02;0.471;-347;552;0.332;0.9
0.113;0.0561;-755;793;15.8;30
0.235;0.298;-727;792;6.46;5
0.856;0.158;-424;718;0.607;15
0.898;1.49;-635;456;1.32;0.913
0.415;0.506;-751;726;6.24;5.4
2.35;0.713;-346;494;0.321;0.502
0.385;0.0973;-705;795;4.49;16
1.42;0.261;-383;700;1;1.67
1.04;0.419;-325;505;0.386;1.42
1.16;0.971;-416;459;0.603;0.858
1.16;0.00241;-382;761;0.358;208
1.95;1.62;-448;347;0.322;0.349
0.695;0.0748;-540;775;1.92;19.8
0.781;0.111;-465;746;0.884;7.31
0.417;0.00967;-656;722;5.51;689
0.844;0.011;-445;830;0.704;76
0.908;0.0505;-415;682;0.538;9.98
0.944;0.0511;-385;677;0.442;15.7
0.949;0.069;-389;747;0.451;9.51
0.952;0.085;-387;746;0.445;6.93
0.745;0.563;-495;659;0.952;2.69
2.2;1.54;-517;501;0.687;0.506
0.108;0.259;-777;748;18.4;7.57
0.18;0.112;-814;811;10.4;16.6
0.835;0.587;-474;580;0.863;1.36
0.894;0.754;-507;576;0.947;1.37
0.931;0.0577;-403;714;0.491;24
0.9;0.0298;-399;763;0.5;23.9
0.78;0.356;-500;672;1.15;2.32
0.818;0.508;-448;592;0.796;1.48
0.883;0.659;-482;593;0.873;1.52
0.951;0.0843;-388;810;0.465;5.22
1.25;0.484;-491;574;1.4;4.25
0.746;0.506;-567;680;1.28;3.15
1.11;0.939;-422;463;0.63;0.87
1.03;0.545;-441;534;0.687;1.49
0.809;0.0408;-448;735;0.733;48.3
0.337;0.0109;-582;706;7.61;189
0.0961;0.263;-668;754;36.7;528
0.0903;0.253;-665;756;34.1;559
0.464;1.28;-503;453;1.83;3.07
1.33;0.436;-457;562;0.467;1.85
1.68;0.63;-611;621;2.29;3.23
0.686;0.183;-555;673;2.12;5.23
0.855;0.0495;-415;758;0.571;10.4
0.771;0.0285;-439;772;0.708;24.2
0.809;0.266;-441;625;0.724;2.14
0.583;0.635;-667;588;17.5;13.4
1.34;0.531;-409;623;0.354;1.4
1.6;0.642;-456;655;0.367;0.913
0.799;0.218;-459;682;0.865;13.9
0.58;0.146;-523;659;1.63;6.52
0.444;0.415;-604;640;2.48;16.6
0.911;0.809;-617;550;1.26;2.12
0.697;0.389;-525;567;1.63;2
0.907;0.0416;-412;749;0.528;97.6
1.06;0.389;-601;747;0.958;2.61
0.92;0.172;-396;744;0.479;2.57
1.13;0.229;-312;576;0.254;1.63
0.447;0.117;-454;630;1.3;6.07
1.01;0.0901;-609;815;1.08;43.2
0.898;0.0623;-513;821;0.826;53.5
0.847;0.0331;-459;779;0.715;39
1.31;0.233;-426;732;0.389;2.19
0.968;0.17;-370;735;0.398;2.27
1.62;0.527;-657;735;0.75;2.31
0.0379;0.46;-745;588;107;6.07
0.00153;0.0898;-899;763;6130;140
1.45;1.03;-591;609;0.681;0.958
1.11;0.879;-423;458;1.38;1.1
1.35;0.591;-610;646;0.834;3.18
1.77;0.94;-531;468;1.1;0.97
0.97;0.0746;-365;700;0.387;6.67
1.1;0.74;-512;641;1.48;3.33
1.31;1.36;-534;714;0.646;22.6
0.948;0.25;-422;712;0.561;2.63
1.08;0.186;-341;616;0.326;2.08
1.64;0.527;-656;737;0.739;2.3
1.1;0.215;-291;530;0.218;40.9
1.09;0.0893;-293;681;0.225;4.26
1.08;0.321;-311;565;0.252;2410
0.96;0.249;-333;553;0.328;1.79
1;0.257;-301;530;0.258;1.49
1.06;0.398;-373;524;0.46;3030
0.91;0.385;-417;720;0.54;1150
0.755;0.494;-737;732;4.33;3.11
0.00012;0.0712;-663;684;13400;62.6
1.19;0.455;-475;537;0.587;2.38
0.0011;0.466;-917;719;2200;27.8
0.00172;0.145;-860;687;4660;17.2
0.0043;1.37;-902;653;618;8.49
0.0023;0.442;-868;633;1260;5.27
1.08;0.409;-631;764;2.27;3.11
0.928;0.002;-414;765;0.52;281
0.74;0.461;-671;708;2.03;3.6
1.58;0.542;-656;733;0.766;2.23
0.902;0.0142;-404;749;0.511;42.4
1.73;0.809;-511;638;0.541;1.05
1;0.193;-511;717;0.765;4.21
0.961;0.0555;-399;776;0.47;11.1
0.924;0.496;-638;734;1.24;2.32
0.123;0.0613;-678;687;109;28.1
0.839;0.487;-487;524;18.7;3.18
0.807;0.0276;-438;723;0.678;43.8
0.921;0.0763;-382;752;0.449;5.49
0.886;0.374;-639;693;9.13;13.2
0.914;0.333;-602;762;1.12;3.06
1.08;0.291;-663;687;3.33;18.5
0.583;0.685;-742;734;2.66;2.27
0.636;0.46;-494;509;1.84;2.96
1.78;0.49;-659;745;0.687;2.5
0.143;0.0159;-650;770;25.5;99.2
1.49;0.412;-604;792;0.689;2.49
0.867;0.196;-416;618;0.562;14.3
0.855;0.0144;-425;749;0.596;41
0.954;1.03;-494;527;0.806;7.68
0.824;0.0187;-427;865;0.627;55
1.01;0.162;-378;745;0.398;2.48
1.43;0.529;-572;647;5.61;9.98
0.959;0.0173;-394;752;0.468;35
0.88;0.116;-423;724;0.633;9.33
0.846;0.383;-442;612;0.662;22
0.189;0.165;-732;649;109;11.5
0.985;0.00933;-410;734;0.484;57
1.01;0.12;-412;721;0.493;7.58
1.11;0.864;-474;574;0.73;6.13
0.676;0.302;-461;643;1.04;6.77
0.71;0.344;-432;607;0.818;7.26
0.502;0.489;-599;593;2.57;185
0.608;0.559;-505;556;1.26;2.33
0.874;0.222;-411;763;0.548;2.16
0.962;0.61;-604;590;1.11;2.91
0.718;0.429;-578;667;3.52;7.68
0.897;0.0873;-394;683;0.487;5.01
1.15;0.241;-628;702;1.96;35.5
0.845;0.322;-529;679;0.971;3.4
0.482;0.298;-627;717;31.8;8.02
0.312;0.776;-629;667;7.13;85.4
1.08;0.47;-687;760;202;2.84
0.555;0.0371;-475;731;1.36;23.8
0.685;0.172;-480;648;1.1;7.32
0.0178;0.759;-826;834;110;94.6
0.229;0.119;-710;730;414;26
0.235;0.145;-710;697;14.7;20.6
0.0339;0.0975;-684;665;360;79.5
0.963;0.406;-491;561;1.46;1.71
0.801;0.158;-644;772;8.81;8.11
0.43;0.113;-660;731;3420;642
0.53;0.0933;-706;737;55.4;82.6
0.625;0.155;-669;721;232;1060
0.325;0.0135;-643;752;36.7;105
0.324;0.143;-624;643;5.37;11.9
0.337;0.135;-618;695;10.6;13.6
0.266;0.0174;-618;725;5.12;65.2
0.113;0.137;-696;682;14.1;13.3
0.434;0.0433;-583;712;9.05;24.8
0.309;0.283;-612;622;4.47;10.9
0.353;0.225;-592;670;15.2;12.2
0.228;0.273;-633;630;8.67;5.84
1.6;0.423;-590;737;0.612;2.32
1.42;0.372;-587;768;0.727;2.74
0.671;0.0733;-593;798;5.29;21.3
0.916;0.0499;-402;763;0.497;14.5
0.847;0.108;-425;837;0.61;1170
1.05;0.107;-325;728;0.285;6.4
0.969;0.124;-383;665;0.426;5.68
2;0.476;-427;595;69.8;1.3
0.907;0.0527;-394;786;0.494;12.7
0.938;0.0179;-391;706;0.46;55.1
0.964;0.168;-407;613;0.49;1190
0.765;0.443;-477;557;1.07;2.58
0.00148;0.75;-824;596;1440;16
0.815;0.438;-425;528;0.628;11.6
1.17;0.317;-423;679;0.944;1.9
1.29;0.912;-582;533;1.41;1.11
1.04;0.6;-557;549;2.93;1.53
1.19;0.294;-428;592;1.15;2.75
0.855;0.447;-409;493;0.608;1.52
1.11;0.54;-617;633;1.15;2.48
0.881;1.13;-559;644;1.17;3.55
0.868;0.278;-434;623;0.611;1810
0.131;0.0691;-696;765;36.5;57.9
2.03;0.796;-574;640;0.46;1.23
1.07;2.15;-437;301;0.505;0.305
0.114;0.277;-707;673;12.4;5.08
0.986;0.046;-367;717;0.386;9.38
0.971;0.0722;-380;712;0.421;12.3
0.958;0.0192;-386;822;0.439;21.9
0.808;0.0406;-419;800;0.612;22.6
1.18;0.473;-366;550;0.534;13700
0.0207;0.127;-787;735;94.1;16.2
0.00842;0.731;-860;577;480;4070
0.00365;0.427;-895;682;1250;5.49
0.000958;0.87;-834;571;12900;3.94
0.436;0.265;-581;625;3.08;236
0.863;0.264;-408;566;0.582;2.52
0.999;0.0708;-374;760;0.396;11.9
1.02;0.22;-381;563;0.401;1.93
0.484;0.197;-692;723;2.93;7.91
0.757;0.0915;-314;704;0.369;13.6
1.09;0.26;-431;647;11.4;143
0.844;0.222;-619;754;1.44;5.23
0.442;0.47;-657;604;3.68;2.87
0.136;0.359;-741;683;146;5.7
0.918;0.0997;-397;789;0.499;4.91
0.84;1.25;-589;499;1.17;1.06
0.786;0.596;-468;492;0.85;1.05
0.0849;0.358;-817;743;41.4;10.1
0.0442;0.0211;-776;766;53.9;80.7
0.834;0.47;-417;575;0.591;2.73
0.652;1.07;-675;722;4.26;15.8
0.601;0.445;-658;607;2.05;27.9
0.995;0.0234;-397;805;0.451;21.9
0.645;0.357;-618;612;1.68;15.3
0.956;0.16;-578;774;17.3;12.9
0.909;0.158;-399;634;0.494;2.86
0.863;0.1;-409;696;0.583;4.86
0.524;0.394;-689;699;2.59;4.04
0.127;0.0729;-687;726;36.1;34.7
0.391;0.318;-732;670;5.69;4.77
0.442;0.463;-625;616;20.3;191
0.841;0.0762;-527;745;1.06;11.1
1.27;0.247;-563;783;0.703;3.62
0.832;0.309;-429;564;0.622;692
0.0792;0.573;-668;652;24;39.2
0.0339;0.224;-699;617;73.5;56.2
0.914;0.0862;-388;653;0.464;6.93
1.36;0.861;-500;571;0.79;1.13
1.78;0.455;-446;577;53.8;1.46
1.04;0.00941;-379;734;0.394;63.4
1.01;0.0332;-385;757;0.415;12.7
0.794;0.000159;-430;687;0.658;7560
1.01;0.0337;-373;739;0.39;13.9
0.491;0.942;-654;664;2.46;1.28
0.584;0.827;-660;695;2.1;1.49
0.886;0.166;-516;733;1.49;4.73
0.959;0.112;-362;760;0.39;111
1.01;0.15;-357;716;0.357;2.39
0.213;0.205;-659;599;121;122
0.674;0.111;-460;740;0.946;7.19
0.789;0.203;-549;718;18.2;11.6
0.682;0.12;-541;668;4.16;8.26
1.03;0.155;-312;368;0.266;1.77
1;0.148;-352;725;0.347;2.35
0.339;0.14;-654;799;207000;19100
0.895;0.192;-540;819;63.3;64.1
0.0048;0.00325;-647;771;41800;768
0.895;0.0156;-414;837;0.54;58.2
1.04;0.455;-449;634;1.06;1.3
0.575;0.97;-742;547;3.28;1.67
0.864;0.145;-533;731;0.93;8.08
0.994;0.0402;-485;767;0.947;38.5
0.663;1.54;-658;579;1.97;87
0.387;0.00598;-636;720;481;306
0.909;0.441;-393;610;0.488;485
0.761;0.228;-418;641;0.651;7.6
0.605;0.796;-589;591;2.34;3.65
0.656;0.215;-446;681;1.39;10.2
0.758;0.583;-485;580;1.04;3.99
1.83;0.216;-411;636;93.1;7.12
0.387;0.117;-490;673;1.93;19.3
0.0395;0.0506;-729;741;38;40.5
0.847;0.0332;-408;771;0.563;28.1
0.257;0.204;-680;720;5.25;12.1
0.204;0.0189;-555;819;95.4;170
0.214;0.179;-639;642;29.2;98.7
0.917;0.0536;-386;647;0.458;13.9
1.04;0.00371;-412;711;0.461;197
0.73;0.192;-431;638;1.21;34900
0.847;0.242;-387;586;0.558;303
1.03;0.0291;-383;779;0.407;16.1
0.882;0.00107;-401;686;0.515;952
0.908;0.0246;-403;755;0.504;32.3
0.977;0.495;-570;620;1.16;3.37
0.439;0.286;-536;680;132;513
0.915;0.15;-396;647;0.485;7.23
1.66;0.471;-450;610;0.428;1.6
0.191;0.547;-662;549;8.81;3.78
0.284;0.191;-723;652;64.8;73.2
0.254;0.0878;-610;726;28.2;41.4
0.117;0.0602;-576;684;31.9;973
0.0372;0.019;-655;637;61.6;78.7
0.0227;0.00777;-685;666;114;181
0.322;0.0701;-639;724;5.46;20.6
0.386;0.127;-605;679;3.23;9.96
1.02;0.22;-390;615;1.33;3.95
0.8;0.0686;-487;665;20.5;11.9
0.966;0.078;-372;721;0.413;9.15
0.915;0.0685;-415;683;0.577;12.3
1.48;0.213;-526;634;0.532;4.39
0.314;0.117;-650;679;4.83;14.6
0.321;0.165;-659;669;4.07;10.7
0.703;0.227;-560;709;17.7;5.22
0.000772;0.01;-885;633;3410;471
0.986;9.21E-05;-397;653;0.456;121000
0.358;0.0923;-558;747;2.48;9.71
0.865;0.0125;-421;760;0.578;72.8
1.08;0.515;-343;440;0.308;0.691
0.972;0.0296;-391;795;0.444;36.4
0.962;0.0122;-397;759;0.461;86.5
0.939;0.0493;-380;720;0.433;21.1
0.89;0.039;-397;804;0.5;37.3
0.539;0.225;-605;762;2.07;22.9
0.827;0.0242;-435;735;0.661;60.8
0.86;0.234;-419;622;0.584;21.6
0.906;0.0564;-401;783;0.501;10.4
0.912;0.159;-407;665;0.531;4.67
0.962;0.0621;-394;761;0.455;9.29
0.939;0.0483;-386;772;0.448;10.8
0.905;0.0262;-413;846;0.535;29
0.924;0.0403;-398;837;0.485;15.4
0.246;0.0743;-680;728;17.8;51.6
1.2;0.127;-657;695;1.59;22.7
1.14;0.245;-518;657;1;15.7
0.933;0.146;-424;731;0.615;4.67
0.978;0.153;-439;772;0.833;3.72
0.658;0.315;-612;675;3.22;5.96
0.815;0.139;-442;763;0.774;4.06
0.86;0.306;-538;657;0.97;5.57
0.885;0.245;-544;655;0.99;4.31
0.759;0.181;-486;662;1.39;5.39
0.635;0.389;-643;644;2.57;8.76
0.616;0.241;-512;653;1.2;83
1.01;0.0652;-360;754;0.366;9.67
0.971;0.0129;-420;760;0.514;67.7
1.19;0.259;-559;753;0.796;10.4
0.511;0.143;-628;748;2.35;12
0.899;0.0131;-423;742;0.568;126
0.942;0.296;-449;566;1.08;1.95
0.555;0.239;-540;690;1.67;14.4
0.701;0.445;-579;621;6.51;4.56
1.04;0.567;-540;573;1.24;2.33
0.719;0.0803;-404;643;0.68;7.69
0.627;0.809;-641;566;2.06;3.63
0.928;0.036;-403;730;0.494;19.9
0.945;0.483;-298;256;0.348;0.801
1.37;0.409;-338;425;0.481;1.13
0.921;0.00613;-431;784;0.572;94.2
